Player,Age,Position,KeyPasses,Passes,PA%,Crosses,AccCrosses,LongBalls,AccLongBalls,ThroughBalls,AccThroughBalls,Rating,Team
Yann Sommer,36,GK,0,28,96.4,0,0,2,1,0,0,5.22,Inter
Matteo Darmian,35,DC,0,40,87.5,2,1,3,1,0,0,6.24,Inter
Alessandro Bastoni,26,DC,0,50,84.0,1,0,6,3,1,0,6.03,Inter
Stefan de Vrij,33,DC,0,76,90.8,0,0,4,2,0,0,6.87,Inter
Denzel Dumfries,29,DMR,0,14,92.9,1,0,0,0,0,0,5.78,Inter
Federico Dimarco,27,DML,2,52,78.9,6,1,4,2,0,0,6.58,Inter
Kristjan Asllani,23,MC,0,47,95.7,3,0,4,4,0,0,6.04,Inter
Henrikh Mkhitaryan,36,MC,1,26,84.6,1,0,0,0,0,0,6.16,Inter
Nicolò Barella,28,MC,1,61,90.2,4,0,7,4,1,0,6.39,Inter
Lautaro Martínez,27,FW,2,23,69.6,1,0,0,0,0,0,6.83,Inter
Marcus Thuram,27,FW,1,10,80.0,0,0,0,0,0,0,6.27,Inter
Valentín Carboni,20,Sub,1,18,72.2,1,0,1,1,0,0,6.33,Inter
Carlos Augusto,26,Sub,1,15,93.3,1,1,0,0,0,0,6.31,Inter
Luis Henrique,23,Sub,1,9,66.7,4,0,0,0,0,0,5.97,Inter
Petar Sucic,21,Sub,0,31,93.6,0,0,4,4,0,0,6.33,Inter
Sebastiano Esposito,22,Sub,1,7,100.0,2,2,0,0,0,0,6.43,Inter
Fábio,44,GK,0,20,40.0,0,0,18,6,0,0,7.61,Fluminense
Juan Pablo Freytes,25,DC,0,28,82.1,0,0,9,6,0,0,6.94,Fluminense
Thiago Silva,40,DC,1,24,83.3,0,0,7,3,0,0,7.39,Fluminense
Ignácio,28,DC,0,21,66.7,1,0,3,0,0,0,7.89,Fluminense
Samuel Xavier,35,MR,0,17,64.7,1,1,0,0,0,0,6.49,Fluminense
Martinelli,23,MC,0,26,88.5,0,0,0,0,0,0,6.41,Fluminense
Facundo Bernal,21,MC,0,18,100.0,0,0,1,1,0,0,7.1,Fluminense
Renê,32,ML,1,16,56.3,2,1,4,0,0,0,7.0,Fluminense
Nonato,27,AMC,0,12,83.3,0,0,0,0,0,0,6.17,Fluminense
Germán Cano,37,FW,1,12,66.7,0,0,0,0,0,0,7.16,Fluminense
Jhon Arias,27,FW,4,29,75.9,4,2,1,0,0,0,7.84,Fluminense
Everaldo,33,Sub,0,5,40.0,0,0,1,0,0,0,6.38,Fluminense
Thiago Santos,35,Sub,0,0,0.0,0,0,0,0,0,0,6.15,Fluminense
Lima,29,Sub,0,5,60.0,0,0,0,0,0,0,6.09,Fluminense
Hércules,24,Sub,0,7,42.9,0,0,3,1,0,0,7.17,Fluminense
