Player,Age,Position,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,Team
Yann Sommer,36,GK,0,0,0,96.4,0,32,5.22,Inter
Matteo Darmian,35,DC,0,0,0,87.5,2,58,6.24,Inter
Alessandro Bastoni,26,DC,0,0,0,84,2,64,6.03,Inter
Stefan de Vrij,33,DC,2,0,0,90.8,4,93,6.87,Inter
Denzel Dumfries,29,DMR,1,0,0,92.9,0,22,5.78,Inter
Federico Dimarco,27,DML,5,2,2,78.9,0,72,6.58,Inter
Kristjan Asllani,23,MC,0,0,0,95.7,0,54,6.04,Inter
Henrikh Mkhitaryan,36,MC,0,0,1,84.6,1,33,6.16,Inter
Nicolò Barella,28,MC,0,0,1,90.2,0,80,6.39,Inter
Lautaro Martínez,27,FW,4,2,2,69.6,3,39,6.83,Inter
Marcus Thuram,27,FW,1,0,1,80,2,23,6.27,Inter
Valentín Carboni,20,Sub,0,0,1,72.2,1,31,6.33,Inter
Carlos Augusto,26,Sub,1,0,1,93.3,2,21,6.31,Inter
Luis Henrique,23,Sub,1,0,1,66.7,0,18,5.97,Inter
Petar Sucic,21,Sub,0,0,0,93.6,0,36,6.33,Inter
Sebastiano Esposito,22,Sub,1,0,1,100,1,13,6.43,Inter
Fábio,44,GK,0,0,0,40,0,30,7.61,Fluminense
Juan Pablo Freytes,25,DC,0,0,0,82.1,0,46,6.94,Fluminense
Thiago Silva,40,DC,0,0,1,83.3,0,36,7.39,Fluminense
Ignácio,28,DC,0,0,0,66.7,4,45,7.89,Fluminense
Samuel Xavier,35,MR,1,0,0,64.7,0,37,6.49,Fluminense
Martinelli,23,MC,0,0,0,88.5,1,33,6.41,Fluminense
Facundo Bernal,21,MC,1,0,0,100,1,32,7.10,Fluminense
Renê,32,ML,0,0,1,56.3,2,41,7.00,Fluminense
Nonato,27,AMC,0,0,0,83.3,0,22,6.17,Fluminense
Germán Cano,37,FW,3,1,1,66.7,0,24,7.16,Fluminense
Jhon Arias,27,FW,4,2,4,75.9,0,62,7.84,Fluminense
Everaldo,33,Sub,0,0,0,40,1,9,6.38,Fluminense
Thiago Santos,35,Sub,0,0,0,0,0,6,6.15,Fluminense
Lima,29,Sub,1,0,0,60,0,10,6.09,Fluminense
Hércules,24,Sub,1,1,0,42.9,1,11,7.17,Fluminense
